BN/Registration Number	Charity Name	Charity Status	Effective Date of Status	Sanction	Designation code	Category code	Address	City	Province	Country	Postal Code/Zip Code	
805878964RR0001	newchoir	Registered	2007-11-07		C	22	120 WINCHESTER STREET	TORONTO	ON	CA	M4X1B4	
742675523RR0001	reStart	Registered	2017-04-05		C	59	14 LYNDBROOK CRES	BRAMPTON	ON	CA	L6P2P1	
845378009RR0001	the equality effect	Registered	2011-01-01		C	59	720 BATHURST ST	TORONTO	ON	CA	M5S2R4	
850010083RR0001	the modern.toronto inc.	Registered	2011-08-31		C	50	SUITE 211                     1153 QUEEN ST W	TORONTO	ON	CA	M6J1J4	
888726742RR0001	the Society Saint-Vincent de Paul - St. Francis de Sales Conference	Registered	2010-04-01		C	09	434 SECOND STREET WEST	CORNWALL	ON	CA	K6J1H1	
107406316RR0056	theStory	Registered	2012-07-06		C	39	179 CHRISTINA STREET NORTH	SARNIA	ON	CA	N7T5T8	
118775840RR0001	A & A KING FAMILY FOUNDATION	Registered	1987-12-18		B	03	77 BLOOR STREET WEST          SUITE 1704	TORONTO	ON	CA	M5S1M2	
801549833RR0001	A & M Green Foundation	Registered	2014-06-03		B	03	64 MERTON ST	TORONTO	ON	CA	M4S1A1	
854719259RR0001	A cup for Africa Mission	Registered	2010-10-23		C	47	PO BOX 327 STN MAIN	RUSSELL	ON	CA	K4R1E1	
848640298RR0001	A Blaze of Glory Ministries	Registered	2009-12-14		C	39	998 EAGLE CR.	LONDON	ON	CA	N5Z4K6	
856815337RR0001	A BOOK OF MY OWN LITERACY CAMPAIGN	Registered	2008-03-06		C	21	1168 DROUILLARD RD	WINDSOR	ON	CA	N8Y2R1	
837866797RR0001	A Cross Mission Organization	Registered	2015-04-13		C	47	1144 SIMMONS RD	ODESSA	ON	CA	K0H2H0	
878631910RR0001	A CAPPELLA SHOWCASE	Registered	2001-09-07		C	22	PO BOX 217 STN MAIN	MILTON	ON	CA	L9T4N9	
866863483RR0001	A CASE OF FAITH MINISTRIES	Registered	1998-06-08		C	39	39 GRASETT CRESCENT	BARRIE	ON	CA	L4N6Z8	
874652704RR0001	A CHANCE ANIMAL RESCUE INC.	Registered	2003-10-16		B	54	675 COUNTY ROAD 43            RR 1	OXFORD MILLS	ON	CA	K0G1S0	
887549285RR0001	A CHILD'S VOICE FOUNDATION-LA FONDATION UNE VOIX D'ENFANT	Registered	1995-02-22		C	09	3034 PALSTAN RD               SUITE 301	MISSISSAUGA	ON	CA	L4Y2Z6	
868311739RR0001	A COLHEITA MINISTRY	Registered	1998-11-12		C	39	1-5 BRUCE ST	CAMBRIDGE	ON	CA	N1R2C8	
879738623RR0001	A COMPANY OF FOOLS THEATRE INC	Registered	1999-01-01		C	22	910 GLADSTONE AVE	OTTAWA	ON	CA	K1R6Y4	
817608961RR0001	A Gate Called Beautiful	Registered	2016-02-10		C	15	39 WILLOW LANE	GRIMSBY	ON	CA	L3M5P6	
835021205RR0001	A Love of Tennis Inc./Pour L'Amour de Tennis	Registered	2012-08-01		C	56	25 KEYS WAY	OTTAWA	ON	CA	K1G4M3	
897370391RR0001	A LIFE WORTH LIVING	Registered	1995-01-01		C	29	203-880 NORTH SERVICE ROAD	WINDSOR	ON	CA	N8X3J5	
858616675RR0001	A LIVING WAY MINISTRIES	Registered	2004-05-28		C	39	26 MCCAMUS AVENUE	KIRKLAND LAKE	ON	CA	P2N2J5	
862880697RR0001	A Mine Free World Assistance Programs	Registered	2015-04-30		C	09	906 FUNG PLACE	KITCHENER	ON	CA	N2A4M3	
828292391RR0001	A New Day - Youth & Adult Services	Registered	2017-09-01		C	09	2043 MEADOWBROOK RD	GLOUCESTER	ON	CA	K1B4W7	
872218565RR0001	A NEW BEGINNING APOSTOLIC CHURCH	Registered	1997-01-01		C	39	61 MINTWOOD DR	NORTH YORK	ON	CA	M2M3A6	
892548744RR0001	A Post Psychiatric Leisure Experience (APPLE)	Registered	2009-07-17		C	01	211 BRONSON AVENUE	OTTAWA	ON	CA	K1R6H5	
139044820RR0001	A PLACE CALLED HOME RESIDENCE IN LINDSAY	Registered	1992-11-23		C	01	64 LINDSAY ST SOUTH	LINDSAY	ON	CA	K9V2M2	
106718489RR0001	A PLACE TO PLAY NURSERY SCHOOL OF BLOOR WEST VILLAGE	Registered	1988-07-01		C	20	680 ANNETTE STREET	TORONTO	ON	CA	M6S2C8	
871083846RR0001	A Raymond Tinnerman Charity Fund	Registered	1976-01-01		A	75	686 PARKDALE AVE N	HAMILTON	ON	CA	L8H5Z4	
712287895RR0001	A Tree for Every Hero	Registered	2017-10-17		C	52	7856 FIFTH LINE SOUTH	MILTON	ON	CA	L9T2X8	
859444549RR0001	A TORAH INFERTILITY MEDIUM OF EXCHANGE	Registered	2005-04-08		C	11	127 LAURELCREST AVENUE        SUITE B	TORONTO	ON	CA	M3H2B4	
118797505RR0001	A Visit With Mrs. G. Ministries Inc.	Registered	1978-01-01		C	47	PO BOX 933	DON MILLS STATION	ON	CA	M3C2T9	
892665969RR0001	A WING & A PRAYER BIRD REHABILITATION CENTRE	Registered	1996-04-27		C	54	P O BOX 88	UTTERSON	ON	CA	P0B1M0	
868295825RR0001	A WORD IN SEASON MINISTRIES	Registered	2015-02-22		C	39	1248 HEALEY LAKE ROAD	BRACEBRIDGE	ON	CA	P1L1X3	
118778810RR0001	A. H. ATKINSON EDUCATION FUND INC	Registered	1988-01-14		B	23	786 KING STREET EAST	HAMILTON	ON	CA	L8M1A6	
124377185RR0001	A. SHEILA BOYD FOUNDATION	Registered	1998-04-03		C	52	21 CANAL STREET               PO BOX 1221	BOBCAYGEON	ON	CA	K0M1A0	
833196157RR0001	A.B. Harji Family Foundation	Registered	2008-02-05		B	03	2750 - 14TH AVENUE            SUITE 306	MARKHAM	ON	CA	L3R0B6	
899613871RR0001	A.C.E.D. - The Association for Cultural and Educational Development / A.C.E.D. - L'association pour le développement culturel et éducationnel	Registered	1992-01-01		C	21	30 GOULBURN AVE	OTTAWA	ON	CA	K1N8C8	
810051003RR0001	A.M. Foundation	Registered	2011-07-12		B	03	19 SAGUENAY AVENUE,	TORONTO	ON	CA	M5N2Y5	
118797729RR0001	A.W.B. CHARITABLE FOUNDATION	Registered	1967-01-01		B	03	400 - 469 KING ST W	TORONTO	ON	CA	M5V1K4	
806652996RR0001	A&Y Foundation	Registered	2015-04-29		B	03	445 HEATH ST E	EAST YORK	ON	CA	M4G1B6	
815152848RR0001	A-Supreme Foundation	Registered	2014-06-17		C	09	103-845 WILSON AVE	TORONTO	ON	CA	M3K1E6	
811546969RR0001	Aanandit Aid To Nepal	Registered	2015-10-02		C	09	19 KELLER LANE,	UXBRIDGE	ON	CA	L9P1Z4	
821092772RR0001	Aaron's Apple Inc.	Registered	2015-01-05		C	11	300A WILSON AVE	NORTH YORK	ON	CA	M3H1S8	
777650326RR0001	Abba's Home Ministries	Registered	2016-11-24		C	01	3 BRIARWOOD CRT	NORTH BAY	ON	CA	P1C1M1	
836125666RR0001	Abbey Gardens Community Trust	Registered	2012-10-23		C	59	1012 GARDEN GATE DRIVE	HALIBURTON	ON	CA	K0M1S0	
814799730RR0001	Abilities Centre Foundation	Registered	2014-06-24		A	03	1 TORONTO STREET              SUITE 808	TORONTO	ON	CA	M5C2Y6	
826197394RR0001	Ability First Ottawa Inc.	Registered	2015-09-22		C	09	B - 70 BONGARD AVE	NEPEAN	ON	CA	K2E7Z9	
774322721RR0001	Abinoojii Obimaatiziwin	Registered	2017-01-01		C	09	1 APARTMENT DRIVE             WAUZHUSHK ONIGUM NATION	KENORA	ON	CA	P9N3X8	
841564016RR0001	Able Sail Kingston Learn to Sail Program Inc.	Registered	2008-04-10		C	56	1 MAITLAND STREET	KINGSTON	ON	CA	K7L2V3	
855301115RR0001	Ablesail Network of Canada/RéseauVoile Adaptée du Canada	Registered	2012-04-19		A	03	15 - 4380 SOUTH SERVICE RD	BURLINGTON	ON	CA	L7L5Y6	
107820474RR0001	AbleLiving Services Inc.	Registered	1981-01-01		C	01	125 REDFERN AVE	HAMILTON	ON	CA	L9C7W9	
817502883RR0001	Aboriginal Bible Academy	Registered	2012-03-21		C	20	POST OFFICE BOX 478	DESERONTO	ON	CA	K0K1X0	
891518748RR0001	Aboriginal Peoples Alliance (North Ontario)	Registered	2010-04-01		C	59	173 RAILWAY STREET	COCHRANE	ON	CA	P0L1C0	
824583611RR0001	Abosamso Orphanage and Charity International	Registered	2010-01-01		C	01	517-101 KENDLETON DRIVE	TORONTO	ON	CA	M9V1V1	
783737927RR0001	Absolute Concept	Registered	2016-01-14		C	09	242 - 415 OAKDALE RD	NORTH YORK	ON	CA	M3N1W7	
843797085RR0001	Absolute Success Children's Foundation	Registered	2013-01-10		A	03	227 KENT STREET WEST,	LINDSAY	ON	CA	K9V2Z1	
779431121RR0001	Abundant Life Evangelical Missionary Church	Registered	2016-03-29		C	39	306 CONCORD AVE	TORONTO	ON	CA	M6H2P6	
883414328RR0001	Abundant Life Spiritual Healing Centre of Sudbury Inc.	Registered	1989-01-01		B	43	360 PERREAULT STREET	SUDBURY	ON	CA	P3B2M7	
757384698RR0001	Abundant Life Tabernacle United Pentecostal Church (Whitby)	Registered	2017-01-01		C	39	32 FLORENCE DR	WHITBY	ON	CA	L1R0K2	
828388470RR0001	Académie de Rockland / Rockland Academy	Registered	2006-09-29		C	20	8720 COUNTY RD 17	ROCKLAND	ON	CA	K4K1T2	
703751693RR0001	Academia Stella Maris (Metcalfe) Inc.	Registered	2017-07-17		C	20	116 LAROSE LANE	EMBRUN	ON	CA	K0A1W0	
865012843RR0001	Academy of Sacred Knowledge	Registered	2005-01-01		C	60	51 PRINCE ST N	CHATHAM	ON	CA	N7M4J7	
816667497RR0001	Acceptional Foundation	Registered	2009-01-30		A	03	5456 SPRUCE AVE	BURLINGTON	ON	CA	L7L1N9	
894144591RR0001	Access County Community Support Services	Registered	1998-03-13		C	09	23 MILL ST W	KINGSVILLE	ON	CA	N9Y1W1	
830373015RR0001	Access Education - Guatemala Children's Fund	Registered	2008-05-27		C	21	59 PALMERSTON GARDENS	TORONTO	ON	CA	M6G1V8	
118776822RR0001	Access Independent Living Services	Registered	1987-08-21		C	01	50 ASHWARREN ROAD	TORONTO	ON	CA	M3J1Z5	
125594697RR0001	Accreditation Canada / Agrément Canada	Registered	1969-01-01		C	19	1150 CYRVILLE ROAD	OTTAWA	ON	CA	K1J7S9	
842257248RR0001	Achievers Faith International Ministries	Registered	2013-04-18		C	39	207105 HIGHWAY 9	ORANGEVILLE	ON	CA	L9W1Y4	
889507042RR0001	Act to End Violence Against Women	Registered	1967-01-01		A	63	209-390 STEELES AVE WEST	THORNHILL	ON	CA	L4J6X2	
107848319RR0001	Action Canada for Sexual Health and Rights / Action pour la santé et les droits sexuels	Registered	1969-12-11		C	13	251 BANK STREET, 2ND FLOOR	OTTAWA	ON	CA	K2P1X3	
781915293RR0001	Action CIND / Action MCIN	Registered	2017-04-05		C	11	PO BOX 99	BRECHIN	ON	CA	L0K1B0	
840604185RR0001	Action Santé Manta Internationale (AMI)	Registered	2014-04-01		C	09	244 - 211 BRONSON AVE	OTTAWA	ON	CA	K1R6H5	
830162616RR0001	Active Cambridge Fitness Program	Registered	2012-06-15		C	56	195 GLENVALLEY DRIVE	CAMBRIDGE	ON	CA	N1T1R2	
847408309RR0001	Active Chefs	Registered	2017-01-01		C	11	2395 HOLLYBROOK DRIVE	OAKVILLE	ON	CA	L6M4S8	
891288334RR0001	Active Healthy Kids Canada / Jeunes en forme Canada	Registered	1994-08-01		C	20	608 - 1 CONCORDE GATE	NORTH YORK	ON	CA	M3C3N6	
894399419RR0001	Active Jewish Adults (AJA) 50+	Registered	2016-05-27		C	56	21 NADOLNY SACHS PVT	OTTAWA	ON	CA	K2A1R9	
842486649RR0001	Active Lifestyles Centre Grey-Bruce	Registered	2017-06-25		C	56	1852 3RD AVE E	OWEN SOUND	ON	CA	N4K2M6	
831592381RR0001	Active Lives After School Dufferin	Registered	2016-01-19		C	09	243 OAKWOOD CRES	ORANGEVILLE	ON	CA	L9W4M9	
818192130RR0001	Acumen Canada	Registered	2013-07-16		C	09	903-15 BEVERLY STREET	TORONTO	ON	CA	M5T1X8	
804008951RR0001	Adam House	Registered	2009-01-01		C	09	430 GLADSTONE AVE.	TORONTO	ON	CA	M6H3H9	
804606010RR0001	Adam's Hope (A Quinte Learning Resource for Children with Autism)	Registered	2008-04-07		C	11	36 HENRY ST	BELLEVILLE	ON	CA	K8P1N2	
840603898RR0001	Adams Family Foundation for Animals	Registered	2010-08-01		A	03	296 BAY ST	THUNDER BAY	ON	CA	P7B1R8	
827137589RR0001	Adaptive Canuck ALS Foundation	Registered	2016-01-01		B	13	2879 TREEVIEW RD	SUDBURY	ON	CA	P3E5C7	
759569528RR0001	Adaptive Cooking Program	Registered	2017-01-01		C	09	3 HAMMOND CRES	LONDON	ON	CA	N5X1A5	
822590659RR0001	Adas Yisroel	Registered	2010-03-01		C	49	P.O BOX 41010                 2795 BATHURST STREET	TORONTO	ON	CA	M6B4J6	
133455709RR0001	Addiction and Mental Health Services - KFLA	Registered	1981-01-01		C	01	107 WELLINGTON STREET	KINGSTON	ON	CA	K7L3C6	
860862481RR0001	Addictions and Mental Health Services - Hasting Prince Edward	Registered	2004-04-01		C	19	3 APPLEWOOD DR                2ND FLOOR	BELLEVILLE	ON	CA	K8P4E3	
883152738RR0001	Addus	Registered	1997-07-25		C	59	40 ORCHARD VIEW BLVD          SUITE 213	TORONTO	ON	CA	M4R1B9	
819056888RR0001	Adelheid Dance Projects	Registered	2012-08-23		C	22	405 SALEM AVENUE NORTH	TORONTO	ON	CA	M6H3C9	
847625811RR0001	Adelphos United Church	Registered	2011-06-27		C	39	110 - 5859 YONGE ST	NORTH YORK	ON	CA	M2M3V6	
815532031RR0001	Adler & Lipkus Foundation	Registered	2014-03-03		B	03	120 MARKWOOD LANE	THORNHILL	ON	CA	L4J7K7	
857069751RR0001	Admaston Cemetery	Registered	2008-01-01		C	59	1438 FOY RD., RR 2	RENFREW	ON	CA	K7V3Z5	
801333493RR0001	Adolphustown-Fredericksburgh Heritage Society	Registered	2014-04-17		C	50	8225 LOYALIST PARKWAY         RURAL ROUTE 1	BATH	ON	CA	K0H1G0	
848101267RR0001	Adonai Ministries	Registered	2010-12-29		C	39	192 CASTLE OAKS CROSSING	BRAMPTON	ON	CA	L6P3X2	
836991000RR0001	Adopt a Village in Laos	Registered	2011-07-01		C	09	17 VICTORIA ST S	PORT HOPE	ON	CA	L1A3L7	
772851325RR0001	Adopt Me Cat Rescue	Registered	2016-04-01		B	54	7561 SETTLER'S WAY	NORTH GOWER	ON	CA	K0A2T0	
793853128RR0001	Adoration United Reformed Church	Registered	2012-04-05		C	45	B-3327 MENNO STREET	VINELAND	ON	CA	L0R2C0	
135644003RR0001	Adult Learning & Training Centre	Registered	1992-04-22		C	21	52 ABBOTT STREET NORTH        UNIT 3	SMITH FALLS	ON	CA	K7A1W3	
107797383RR0133	Adventist Christian Elementary School	Registered	2007-09-06		C	20	800 FLEET STREET	LONDON	ON	CA	N5Y1R9	
830070850RR0001	Advocate Freedom Foundation	Registered	2010-01-05		B	05	300-4275 KING ST E            3RD FLOOR	KITCHENER	ON	CA	N2P2S9	
832616379RR0001	Aegis House	Registered	2015-01-01		C	09	1881 GERRARD STREET EAST      2ND FLOOR REAR	TORONTO	ON	CA	M4L2B8	
874491772RR0001	Affirm United - S'affirmer ensemble	Registered	2008-11-17		C	59	7 WINDSOR ST	KINGSTON	ON	CA	K7M4K4	
132976168RR0001	Afghan Canadian Islamic Community	Registered	1992-01-01		C	60	22 HOBSON AVE	TORONTO	ON	CA	M4A1Y2	
844365320RR0001	Afghan Islamic and Cultural Centre of Hamilton	Registered	2009-01-01		C	60	644 BARTON ST E	HAMILTON	ON	CA	L8L3A2	
860216951RR0001	Afghan Muslim Immigrant Aid	Registered	2008-04-01		C	09	70 IRWIN ROAD	ETOBICOKE	ON	CA	M9V2P8	
847561107RR0001	Afghanistan Repatriation Memorial	Registered	2012-04-01		C	59	7 CRESWELL DRIVE,	TRENTON	ON	CA	K8V6X5	
816447296RR0001	Afonso Chen Foundation	Registered	2009-06-24		B	22	20 WOODVALE CRESCENT	TORONTO	ON	CA	M4C5N5	
804194751RR0001	Afri-Can Education & Support Fund (ACES Fund)	Registered	2009-01-01		C	09	3300-181 BAY STREET           P.O. BOX 786/BAY WELLINGTON TW	TORONTO	ON	CA	M5J2T3	
841583495RR0001	Africa Reads Trust Charity	Registered	2008-09-08		C	25	345 MOUNTBATTEN AVENUE	OTTAWA	ON	CA	K1H5W2	
854837952RR0001	Africain-Canadian Christian Network - Réseau Chrétien Canadien Africain	Registered	2011-03-18		A	03	1875 SHEPPARD AVENUE WEST	TORONTO	ON	CA	M3L1Y6	
816807291RR0001	African Girls Education Fund/Fond pour l'éducation des filles africaines	Registered	2009-01-19		C	09	603 - 4900 BATHURST ST	NORTH YORK	ON	CA	M2R1X6	
840517486RR0001	African Research and Conservation Foundation	Registered	2012-01-10		C	54	436 LIMESTONE CRES	TORONTO	ON	CA	M3J2S4	
846527919RR0001	Afro Canadian Development Inc.	Registered	2011-01-01		C	09	1270 FINCH AVENUE WEST        UNIT 18	NORTH YORK	ON	CA	M3J3J7	
822613378RR0001	Against the Grain Theatre Inc.	Registered	2014-09-01		C	22	400 - 227 FRONT ST E	TORONTO	ON	CA	M5A1E8	
852246982RR0001	Agape in Action	Registered	2008-01-01		C	09	97 TWENTY PLACE BLVD	MT. HOPE	ON	CA	L0R1W0	
811495399RR0001	Agape Kingdom Assembly	Registered	2015-09-28		C	39	1808 - 60 RUDDINGTON DR	NORTH YORK	ON	CA	M2K2J9	
816351696RR0001	Agape Ministries Press	Registered	2009-01-19		C	49	30 AGINCOURT AVENUE	HAMILTON	ON	CA	L8H3M3	
846048452RR0001	Agape Unlimited Health Services	Registered	2009-07-24		C	19	12 JOCELYN CRESCENT	TORONTO	ON	CA	M3B1A2	
894945633RR0075	Agape Vietnamese Alliance Church of The Christian and Missionary Alliance in Canada	Registered	2012-11-02		C	39	50 TRAFFORD CRES	MARKHAM	ON	CA	L3R7H9	
863769584RR0001	Agidasin Initiatives	Registered	2010-05-10		C	20	P.O. BOX 133	MINAKI	ON	CA	P0X1J0	
841592686RR0001	Agincourt Gospel Hall	Registered	2012-03-14		C	39	37 BLUEBERRY DR.	SCARBOROUGH	ON	CA	M1S3G1	
869378315RR0001	Agincourt Muslim Religious Association	Registered	2014-01-01		C	60	3599 SHEPPARD AVENUE EAST	SCARBOROUGH	ON	CA	M1T3K8	
726064892RR0001	Agudas Shomrei Hadas	Registered	2017-07-30		C	49	38 VIEWMOUNT AVE	NORTH YORK	ON	CA	M6B1T4	
794482893RR0001	Agudath Israel Congregation of Toronto	Registered	2016-04-15		C	42	129 MCGILLIVRAY AVE	NORTH YORK	ON	CA	M5M2Y7	
829490416RR0001	Ahavat Shalom Sephardic Congregation	Registered	2008-01-01		C	42	2 COLTRANE DRIVE	THORNHILL	ON	CA	L4J9A7	
815359211RR0001	Aids Crisis Response Team	Registered	2008-07-14		C	11	9618 TECUMSEH ROAD EAST       SUITE #112	WINDSOR	ON	CA	N8R1A2	
130387665RR0096	Air Cadet League of Canada 164 Shelburne Squadron SponsoringCommittee	Registered	2012-02-21		C	29	PO BOX 970 ST MAIN	SHELBURNE	ON	CA	L9V3M2	
821443645RR0001	Airlie Foundation	Registered	2013-03-22		B	03	17886 THE GORE ROAD	CALEDON	ON	CA	L7K2M5	
820060358RR0001	Ajax Christian Academy	Registered	2007-12-20		C	20	65 TAWN CRES	AJAX	ON	CA	L1Z1H9	
