BN/Registration Number	Charity Name	Charity Status	Effective Date of Status	Sanction	Designation code	Category code	Address	City	Province	Country	Postal Code/Zip Code	
835607276RR0001	AL-EMAN ISLAMIC CENTRE OF CANADA INC.	Registered	2009-01-01		C	60	1407 - 1175 DUNDAS ST W	MISSISSAUGA	ON	CA	L5C1C7	
888267044RR0001	ALL NATIONS BAPTIST CHURCH OF METROPOLITAN TORONTO	Registered	1988-03-20		C	31	3149 POLO PLACE	MISSISSAUGA	ON	CA	L5M6K9	
898630306RR0001	ALMANARAH PRESBYTERIAN CHURCH	Registered	2003-08-23		C	39	255 EXPORT BLVD	MISSISSAUGA	ON	CA	L5S1Y4	
893771261RR0001	AMAZING GRACE CHRISTIAN MINISTRIES	Registered	1996-06-12		C	39	3274 PRINGLE PLACE	MISSISSAUGA	ON	CA	L5M7R7	
118785518RR0001	AMHERST WILDLIFE FOUNDATION	Registered	1975-12-16		C	54	26 SWANHURST BLVD.	MISSISSAUGA	ON	CA	L5N1B7	
896726908RR0001	AMMA CANADA	Registered	2003-03-05		A	03	6401 LONGSPUR ROAD	MISSISSAUGA	ON	CA	L5N6E3	
894048479RR0001	ANAPILIS CHRISTIAN COMMUNITY CENTRE	Registered	1994-10-31		C	59	2185 STAVENBANK ROAD	MISSISSAUGA	ON	CA	L5C1T3	
868256496RR0001	ANATOLIA ISLAMIC CENTRE	Registered	1998-01-13		C	60	5280 MAINGATE DRIVE	MISSISSAUGA	ON	CA	L4W1G5	
118787167RR0001	ANGOLA MEMORIAL SCHOLARSHIP FUND	Registered	1982-01-01		C	21	1333 BLOOR ST                 2016	MISSISSAUGA	ON	CA	L4Y3T6	
840776769RR0001	ANIMAL AID FOUNDATION	Registered	2006-10-10		A	03	6-2400 DUNDAS ST. W           SUITE 114	MISSISSAUGA	ON	CA	L5K2R8	
127593192RR0001	ANJUMAN-E ANWARUL ISLAM OF MALTON	Registered	1990-01-01		C	60	7097 AIRPORT RD	MISSISSAUGA	ON	CA	L4T2G7	
810614743RR0001	ANJUMAN-E-FAKHRI (MISSISSAUGA)	Registered	2006-01-26		C	60	6635 CAMPOBELLO RD	MISSISSAUGA	ON	CA	L5N2W9	
119288918RR0382	APPLEWOOD CONGREGATION OF JEHOVAH'S WITNESSES	Registered	1972-02-21		C	61	3311 GOLDEN ORCHARD DR	MISSISSAUGA	ON	CA	L4Y3H1	
131801649RR0001	APPLEWOOD UNITED CHURCH,	Registered	1967-01-01		C	44	2067 STANFIELD RD	MISSISSAUGA	ON	CA	L4Y1R4	
890992340RR0001	ARKAN DANCE COMPANY	Registered	1995-08-03		C	22	952 FLETCHER VALLEY CRESCENT	MISSISSAUGA	ON	CA	L5J2X7	
118789635RR0001	ARMAGH	Registered	1984-01-01		C	01	PO BOX 52581                  1801 LAKESHORE RD WEST	MISSISSAUGA	ON	CA	L5J4S6	
119043586RR0001	ART GALLERY OF MISSISSAUGA	Registered	1988-01-01		C	50	300 CITY CENTRE DRIVE	MISSISSAUGA	ON	CA	L5B3C1	
892430968RR0001	ASHA JYOTI COMMUNITY WELFARE SOCIETY OF CANADA	Registered	1992-10-01		C	09	4646 HERITAGE HILLS BLVD      PO BOX 14529	MISSISSAUGA	ON	CA	L5R4G3	
127290005RR0001	ASIAN OUTREACH INTERNATIONAL (CANADA)	Registered	1999-05-21		C	47	2450 MILLTOWER CRT	MISSISSAUGA	ON	CA	L5N5Z6	
707308722RR0001	ASK Family Trust	Registered	2017-05-26		B	05	370 QUEEN ST S	MISSISSAUGA	ON	CA	L5M1M2	
711885525RR0001	ASK Foundation	Registered	2017-05-26		B	09	370 QUEEN STREET SOUTH	MISSISSAUGA	ON	CA	L5M1M2	
133617522RR0001	ASSOCIATED YOUTH SERVICES OF PEEL	Registered	2000-04-01		C	59	160 TRADERS BLVD. EAST        SUITE 100	MISSISSAUGA	ON	CA	L4Z3K7	
813293958RR0001	ATLAS STAGE PRODUCTIONS CANADA	Registered	2012-01-01		C	22	205-3170 KIRWIN AVE	MISSISSAUGA	ON	CA	L5A3R1	
780845897RR0001	Bayshore Make-A-Difference Foundation	Registered	2016-03-14		B	03	2101 HADWEN RD.	MISSISSAUGA	ON	CA	L5K2L3	
824666093RR0001	Beacon's Reach Port Credit	Registered	2009-01-01		C	09	2137 KAWARTHA CRESCENT	MISSISSAUGA	ON	CA	L5H3P8	
888546009RR0001	Behta Darya Community Church	Registered	2003-05-23		C	39	3479 AUTUMNLEAF CRESCENT	MISSISSAUGA	ON	CA	L5L1K6	
808923494RR0001	Bill and Vicky Blair Foundation	Registered	2009-09-08		B	05	75 SUPERIOR BLVD	MISSISSAUGA	ON	CA	L5T2X9	
132329228RR0001	BridgeWay Family Centre	Registered	1989-09-01		C	50	101-1801 LAKESHORE RD. WEST	MISSISSAUGA	ON	CA	L5J1N6	
887897866RR0001	Bukkyo Dendo Kyokai Canada	Registered	1987-12-09		B	43	2121 MEADOWVALE BOULEVARD	MISSISSAUGA	ON	CA	L5N5N1	
837820810RR0001	BAB UL HAWAIJ ISLAMIC CENTRE	Registered	2009-01-01		C	60	4808 WILD ROSE STREET	MISSISSAUGA	ON	CA	L5M5M7	
891580144RR0001	BAIMAI SURTI FOUNDATION	Registered	1988-04-26		B	05	55 KINGSBRIDGE GARDEN CIR     SUITE 2004	MISSISSAUGA	ON	CA	L5R1Y1	
841646623RR0001	BCS Charitable Corporation	Registered	2008-09-04		B	03	5484 TOMKEN RD                UNIT 33	MISSISSAUGA	ON	CA	L4W2Z6	
898857263RR0001	BENNY HINN MINISTRIES CANADA	Registered	1995-01-01		C	49	1-401 TRADERS BLVD E	MISSISSAUGA	ON	CA	L4Z2H8	
118803659RR0001	BEREAVED FAMILIES OF ONTARIO	Registered	1979-05-07		C	09	RPO WATLINE PO BOX 10015	MISSISSAUGA	ON	CA	L4Z4G5	
118803667RR0001	BEREAVED FAMILIES OF ONTARIO -HALTON/PEEL	Registered	1989-01-01		C	09	610 - 33 CITY CENTRE DR	MISSISSAUGA	ON	CA	L5B2N5	
118805605RR0001	BETHEL MEMORIAL CHAPEL AND CEMETERY	Registered	1980-01-01		C	59	2451 BENEDET DR	MISSISSAUGA	ON	CA	L5J4H5	
864161914RR0001	BETHSALEM CHURCH OF GOD	Registered	2002-03-12		C	39	3474 LADDIE CRESCENT	MISSISSAUGA	ON	CA	L4T1N1	
863055570RR0001	BIBLE TEACHERS INTERNATIONAL CANADA	Registered	2005-01-01		C	39	1085 BRITANNIA RD E	MISSISSAUGA	ON	CA	L4W3X1	
133493957RR0001	BIRTHRIGHT MISSISSAUGA	Registered	1980-01-01		C	09	307-2600 EDENHURST DRIVE	MISSISSAUGA	ON	CA	L5A3Z8	
892306564RR0001	BO LI BUDDHIST ASSOCIATION OF TORONTO	Registered	1990-06-27		C	35	RAYMOND LAU                   3382 NIGHTHAWK TRAIL	MISSISSAUGA	ON	CA	L5N6G5	
136609450RR0001	BRAIN INJURY ASSOCIATION OF PEEL & HALTON	Registered	1986-05-01		C	59	PO BOX 67012 RPO S COMMON MALL	MISSISSAUGA	ON	CA	L5L5V4	
893416586RR0001	BRAMHI SOCIETY	Registered	1989-12-01		C	39	1006 - 3533 DERRY RD E	MISSISSAUGA	ON	CA	L4T1B1	
880159157RR0001	BRAMPTON VIETNAMESE ALLIANCE CHURCH OF THE CHRISTIAN AND MISSIONARY ALLIANCE IN CANADA	Registered	1997-05-03		C	39	114 - 1055 CANADIAN PLACE	MISSISSAUGA	ON	CA	L4W0C2	
878867126RR0001	BREAKFAST WITH SANTA FOUNDATION	Registered	2000-01-12		C	09	5506 COSMIC CRESCENT	MISSISSAUGA	ON	CA	L4Z3R9	
119288918RR1066	BRITANNIA CONGREGATION OF JEHOVAH'S WITNESSES, MISSISSAUGA	Registered	1995-09-01		C	61	10 - 5950 GLEN ERIN DR	MISSISSAUGA	ON	CA	L5M6J1	
890517246RR0001	C F U W MISSISSAUGA SCHOLARSHIP FUND	Registered	1989-08-01		C	21	903 - 1800 THE COLLEGEWAY	MISSISSAUGA	ON	CA	L5L5S4	
119097475RR0001	C.B. POWELL FOUNDATION	Registered	1969-06-13		B	03	2475 SKYMARK AVENUE           SUITE #1	MISSISSAUGA	ON	CA	L4W4Y6	
118827757RR0001	Camp Jubilee for Christadelphian Children	Registered	1976-10-05		C	56	519 ARROWHEAD ROAD	MISSISSAUGA	ON	CA	L5H1V5	
824685101RR0001	Canada Pyungkangjeil Church	Registered	2012-03-06		C	39	24-3515 HAVENWOOD DRIVE	MISSISSAUGA	ON	CA	L4X2M6	
800590283RR0001	Canadian Chopin Society	Registered	2013-07-09		C	22	4300 CAWTHRA ROAD	MISSISSAUGA	ON	CA	L4Z1V8	
809867567RR0001	Canadian Community Alliance Network	Registered	2017-01-17		C	11	201 - 5200 DIXIE RD	MISSISSAUGA	ON	CA	L4W1E4	
852354612RR0001	Canadian Development and Aid Fund	Registered	2008-05-01		C	60	200 - 1515 MATHESON BLVD E	MISSISSAUGA	ON	CA	L4W2P5	
845077833RR0001	Canadian Federation of Theotherapy	Registered	2014-04-15		C	47	5104 NINTH LINE	MISSISSAUGA	ON	CA	L5M0R5	
790867691RR0001	Canadian Gujarati Association of Ontario	Registered	2017-01-01		C	48	6136 SILKEN LAUMANN WAY	MISSISSAUGA	ON	CA	L5V1A2	
818791410RR0001	Canadian Religious Stewardship / Soutien aux religieux et religieuses du Canada	Registered	2009-01-01		C	59	6299 AIRPORT ROAD             SUITE 100	MISSISSAUGA	ON	CA	L4V1N3	
840810360RR0001	Canadian Society of Peace & Relief	Registered	2011-03-12		C	60	6680 CAMPOBELLO RD	MISSISSAUGA	ON	CA	L5N2L8	
119288918RR1709	Cartagena Congregation of Jehovah's Witnesses, Mississauga, Ontario	Registered	2016-10-26		C	61	4351 DIXIE RD	MISSISSAUGA	ON	CA	L4W1M9	
835245614RR0001	Catholic Girls' School of Greater Toronto	Registered	2007-12-07		C	20	2241 MISSISSAUGA ROAD	MISSISSAUGA	ON	CA	L5H2K8	
803142637RR0001	Centro Familiar De Adoracion Family Worship Centre	Registered	2014-09-09		C	39	44 - 2655 GANANOQUE DR	MISSISSAUGA	ON	CA	L5N3A6	
830463725RR0001	Charismatic Episcopal Church of Asia	Registered	2007-03-31		B	39	6357 NEUCHATEL RD	MISSISSAUGA	ON	CA	L5N2J7	
803671460RR0001	Chartwell Baptist Church (Clarkson Village) Inc.	Registered	2010-11-09		C	31	1880 LAKESHORE ROAD WEST,	MISSISSAUGA	ON	CA	L5J1J7	
759248297RR0001	Choice 4 Christ Ministries	Registered	2017-01-01		C	39	5880 MERSEY ST	MISSISSAUGA	ON	CA	L5V1V9	
831039391RR0001	Christ Apostolic Church (Vineyard of Comfort) Mississauga Assembly	Registered	2017-01-01		C	39	6 - 1575 TRINITY DR	MISSISSAUGA	ON	CA	L5T1K4	
823783055RR0001	Christ Healing Evangelical Church - Faith Chapel	Registered	2010-11-22		C	39	B13-1515 MATHESON BLVD E	MISSISSAUGA	ON	CA	L4W2P5	
802305516RR0001	Christ Intimacy Church International	Registered	2014-01-01		C	39	5054 FAIRWIND DRIVE,	MISSISSAUGA	ON	CA	L5R2N4	
818133910RR0001	Christ Restoration Chapel	Registered	2013-04-01		C	39	7471 SAINT BARBARA BOULEVARD	MISSISSAUGA	ON	CA	L5W0G3	
806851325RR0001	Christian Creative Communication Centre of Canada	Registered	2016-08-05		C	39	5892 RIVERSIDE PLACE	MISSISSAUGA	ON	CA	L5M4X3	
852167956RR0001	Citizens for the Advancement of Community Development	Registered	2009-06-29		C	59	1275 MISSISSAUGA VALLEY BLVD	MISSISSAUGA	ON	CA	L5A3R8	
802005330RR0001	City of Revival Ministry (Ministerio Ciudad de Avivamiento)	Registered	2013-09-11		C	39	3324 SCOTCH PINE GATE,	MISSISSAUGA	ON	CA	L5N7M9	
819144098RR0001	Collette Foundation Canada	Registered	2009-01-01		B	03	40 QUEEN STREET SOUTH	MISSISSAUGA	ON	CA	L5M1K3	
860232552RR0001	Companion Animal Rescue Effort	Registered	2007-05-22		C	54	1077 NORTH SERVICE RD         PO BOX 20022	MISSISSAUGA	ON	CA	L4Y4L2	
836305177RR0001	Comunidad de Dios Hechos	Registered	2015-01-01		C	39	209 - 25 AGNES ST	MISSISSAUGA	ON	CA	L5B3X7	
842130882RR0001	Concerned Citizens of Canada for Community Welfare Inc.	Registered	2012-06-04		A	03	6203 NETHERHART ROAD	MISSISSAUGA	ON	CA	L5T1G5	
839150372RR0001	Congregation Yeshua	Registered	2015-04-07		C	39	1655 STOCKBRIDGE CRT	MISSISSAUGA	ON	CA	L5N8A1	
848974648RR0001	Connect 4 Life	Registered	2013-06-14		C	09	505-880 DUNDAS ST. W	MISSISSAUGA	ON	CA	L5C4H3	
819511882RR0001	Convocation of IGBO Anglicans in Canada	Registered	2017-01-01		C	30	1002 WETHERBY LANE	MISSISSAUGA	ON	CA	L4W2S4	
842869265RR0001	Cornerstone Asian Church	Registered	2011-07-26		C	39	3434 CAWTHRA ROAD	MISSISSAUGA	ON	CA	L5A2X7	
811438969RR0001	Couples For Christ Canada	Registered	2016-01-01		C	47	201 - 7025 TOMKEN RD	MISSISSAUGA	ON	CA	L5S1R6	
868453382RR0001	Covenant Church	Registered	2000-01-01		C	39	3010 THE COLLEGEWAY	MISSISSAUGA	ON	CA	L5L4X9	
892350810RR0001	Cow Over Moon Children's Theatre	Registered	2008-09-01		C	22	283 KING ANDREW DR.	MISSISSAUGA	ON	CA	L4Z1S4	
107910259RR0233	Cristo Rei Parish	Registered	2012-05-04		C	38	3495 CONFEDERATION PARKWAY	MISSISSAUGA	ON	CA	L5B3G5	
107910259RR0180	Croatian Martyrs Parish	Registered	1978-01-06		C	38	4605 MISSISSAUGA ROAD	MISSISSAUGA	ON	CA	L5M7C6	
876020512RR0001	CALVARY GOSPEL TEMPLE	Registered	2001-10-10		C	39	290 TRADERS BLVD. E #1 & 2	MISSISSAUGA	ON	CA	L4Z1W7	
894659408RR0001	CANADA HINDU HERITAGE CENTRE	Registered	2004-06-15		C	20	270 EXPORT BLVD.	MISSISSAUGA	ON	CA	L5S1Y9	
893959049RR0001	CANADA HINDU SATSANGH ORGANIZATION	Registered	1995-01-27		C	48	215 EXPORT BOULEVARD	MISSISSAUGA	ON	CA	L5S1Y4	
130046972RR0001	CANADA-CHINA EDUCATIONAL AND CULTURAL EXCHANGE FOUNDATION	Registered	1985-09-30		C	22	2596 KENNA COURT	MISSISSAUGA	ON	CA	L5K2K6	
891036493RR0001	CANADIAN ACADEMY OF ENDODONTICS ENDOWMENT FUND	Registered	1997-07-01		A	23	702 - 55 CITY CENTRE DR	MISSISSAUGA	ON	CA	L5B1M3	
891995045RR0001	CANADIAN ADULT CONGENITAL HEART NETWORK	Registered	1994-01-01		C	11	100 2233 ARGENTIA ROAD	MISSISSAUGA	ON	CA	L5N2X7	
873663850RR0001	CANADIAN APOSTOLIC MINISTRIES	Registered	2001-03-19		C	39	5865B COOPERS AVENUE	MISSISSAUGA	ON	CA	L4Z1R9	
106843436RR0001	CANADIAN BAPTIST MINISTRIES	Registered	1967-01-01		C	47	7185 MILLCREEK DR	MISSISSAUGA	ON	CA	L5N5R4	
867262362RR0001	CANADIAN BAPTISTS OF ONTARIO AND QUEBEC FOUNDATION	Registered	2000-01-01		A	43	2108 KAWARTHA CRES	MISSISSAUGA	ON	CA	L5H3P9	
106844244RR0001	CANADIAN CELIAC ASSOCIATION/L'ASSOCIATION CANADIENNE DE LA MALADIE COELIAQUE	Registered	1982-05-08		C	11	5025 ORBITOR DRIVE            BUILDING 1 SUITE 400	MISSISSAUGA	ON	CA	L4W4Y5	
889647947RR0001	CANADIAN CHRISTIAN ASSOCIATION	Registered	1996-10-01		C	09	55 VILLAGE CENTRE PLACE       SUITE 304	MISSISSAUGA	ON	CA	L4Z1V9	
133740316RR0001	CANADIAN COSMETIC, TOILETRY AND FRAGRANCE ASSOCIATION FOUNDATION/LA FONDATION DE L'ASSOCIATION CANADIENNE DES COSMÉTIQUES, PRODUITS DE TOILETTE ET PARFUMS	Registered	1992-07-13		C	09	102-420 BRITANNIA ROAD EAST	MISSISSAUGA	ON	CA	L4Z3L5	
888267440RR0001	CANADIAN COUNCIL OF HINDUS (1985)	Registered	1986-07-04		C	49	270 EXPORT BLVD	MISSISSAUGA	ON	CA	L5S1Y9	
118831080RR0001	CANADIAN FOOD FOR CHILDREN	Registered	1985-12-02		C	09	1258 LAKESHORE RD E	MISSISSAUGA	ON	CA	L5E1E9	
872324710RR0001	CANADIAN HERITAGE PHOTOGRAPHY FOUNDATION	Registered	2002-01-29		C	50	710 - 30 EGLINTON AVE W	MISSISSAUGA	ON	CA	L5R3E7	
129599395RR0001	CANADIAN PARENTS FOR FRENCH (ONTARIO)	Registered	1994-04-01		C	21	2055 DUNDAS ST E STE 103	MISSISSAUGA	ON	CA	L4X1M2	
866696123RR0001	CANADIAN RELIGIOUS ADMINISTRATIVE SERVICES INC./SERVICES ADMINISTRATIFS RELIGIEUX CANADIENS INC.	Registered	2000-06-01		C	49	6299 AIRPORT ROAD             SUITE 100	MISSISSAUGA	ON	CA	L4V1N3	
859362840RR0001	CANADIAN SAMARITANS FOR AFRICA	Registered	2003-09-01		B	03	174-99 BRISTOL RD EAST	MISSISSAUGA	ON	CA	L4Z3P4	
866065733RR0001	CANADIAN VOLUNTEER FIRE SERVICES ASSOCIATION/L'ASSOCIATION CANADIENNE DES SERVICES D'INCENDIE VOLONTAIRE	Registered	2008-01-01		C	59	5-2600 SKYMARK AVENUE         SUITE 100	MISSISSAUGA	ON	CA	L4W5B2	
866844913RR0001	CANADIANS FOR LOVE OF HUMANITY (CLOH)	Registered	2002-07-15		C	03	397 CEREMONIAL DRIVE	MISSISSAUGA	ON	CA	L5R2C8	
118839323RR0001	CARMELITE SISTERS OF CANADA	Registered	1967-01-01		C	46	ADMINISTRATOR                 1720 SHERWOOD FORREST CIRCLE	MISSISSAUGA	ON	CA	L5K1R1	
118840800RR0001	CATHOLIC BIBLICAL ASSOCIATION OF CANADA	Registered	1976-01-19		C	49	5650 MAVIS RD	MISSISSAUGA	ON	CA	L5V2N6	
875142408RR0001	CATHOLIC MISSION OF LOVE	Registered	2004-07-01		C	39	6128 PRAIRIE CIRCLE	MISSISSAUGA	ON	CA	L5N5Y2	
871759098RR0001	CATHOLIC RELIGIOUS SELF-INSURED RETENTION PROGRAM	Registered	1999-12-06		C	99	6299 AIRPORT ROAD, SUITE 100	MISSISSAUGA	ON	CA	L4V1N3	
119026482RR0001	CAWTHRA PARK UNITED CHURCH	Registered	1967-01-01		C	44	1465 LEDA AVE.	MISSISSAUGA	ON	CA	L5G4B8	
119288918RR0512	CENTRAL PARKWAY CONGREGATION OF JEHOVAH'S WITNESSES	Registered	1980-05-01		C	61	473 BARONDALE DR	MISSISSAUGA	ON	CA	L4Z3V8	
118848951RR0001	CGC CHARITABLE FOUNDATION	Registered	1987-06-22		B	05	350 BURNHAMTHORPE RD. W.      5TH FLOOR	MISSISSAUGA	ON	CA	L5B3J1	
819086745RR0001	CHABAD OF MISSISSAUGA	Registered	2005-11-02		C	42	4504 HAYDOCK PARK DRIVE	MISSISSAUGA	ON	CA	L5M3C6	
803271865RR0001	CHANCHLANI FOUNDATION	Registered	2010-10-25		B	03	2505 - 1900 THE COLLEGEWAY	MISSISSAUGA	ON	CA	L5L5Y8	
832476873RR0001	CHARGER FOUNDATION	Registered	2005-07-28		A	03	5025 ORBITOR DRIVE            BLDG 4 STE 400	MISSISSAUGA	ON	CA	L4W4Y5	
887783215RR0001	CHILD DEVELOPMENT RESOURCE CONNECTION PEEL	Registered	2001-03-02		C	09	103 - 75 WATLINE AVE	MISSISSAUGA	ON	CA	L4Z3E5	
118853035RR0001	CHINESE ASSOCIATION OF MISSISSAUGA	Registered	1987-05-03		C	22	16-1177 CENTRAL PARKWAY WEST	MISSISSAUGA	ON	CA	L5C4P3	
106915564RR0001	CHINESE CHRISTIAN CHURCH	Registered	1980-01-01		C	39	255 BRUNEL ROAD	MISSISSAUGA	ON	CA	L4Z1X3	
119288918RR1459	CHINESE CONGREGATION OF JEHOVAH'S WITNESSES, MISSISSAUGA, ONTARIO	Registered	2008-03-14		C	61	830 CARDINGTON STREET	MISSISSAUGA	ON	CA	L5V1Z6	
863780912RR0001	CHINESE GRACE CHURCH	Registered	2002-07-03		C	36	3143 KEYNES CRES.	MISSISSAUGA	ON	CA	L5N2Z9	
855108478RR0001	CHISTIAN EVANGELISTIC MINISTRIES	Registered	2004-07-28		C	39	5566                          WHISTLER CRES	MISSISSAUGA	ON	CA	L4Z3R5	
130533185RR0001	CHRIST CHURCH UNITED CHURCH	Registered	1967-01-01		C	44	1700 MAZO CRESCENT	MISSISSAUGA	ON	CA	L5J1Y8	
853991057RR0001	CHRIST FOR LIFE MINISTRIES	Registered	1995-01-01		C	39	3607 WOLFEDALE ROAD	MISSISSAUGA	ON	CA	L5C1V8	
118858604RR0001	CHRIST OUR KING LUTHERAN CHURCH	Registered	1967-01-01		C	32	2150 DUNDAS ST W	MISSISSAUGA	ON	CA	L5K1R5	
853798379RR0001	CHRIST THE LIVING STONE FELLOWSHIP MISSISSAUGA (CLSF MISSISSAUGA)	Registered	2006-01-01		C	39	UNIT 10                       5750 TIMBERLEA BOULEVARD	MISSISSAUGA	ON	CA	L4W5N8	
860845858RR0001	CHRISTIAN BRETHREN BIBLE CHURCH	Registered	2003-01-01		C	39	PO BOX 88033,                 7235 BELLSHIRE GATE	MISSISSAUGA	ON	CA	L5N8M1	
891430175RR0001	CHRISTIAN MUSICAL SERVICES	Registered	1982-01-01		C	49	1562 LOVELADY CRESCENT	MISSISSAUGA	ON	CA	L4W2Z1	
887970572RR0001	CHURCH COMMUNITY VOLUNTEERS INC.	Registered	1996-09-01		C	09	1700 MAZO CRESCENT	MISSISSAUGA	ON	CA	L5J1Y8	
130636335RR0001	CHURCH OF GOD AT FONTHILL, ONTARIO	Registered	1967-01-01		C	39	50 ELM DRIVE EAST             UNIT 1002	MISSISSAUGA	ON	CA	L5A3X2	
817997703RR0001	CHURCH OF GOD IN CANADA	Registered	1968-01-01		C	39	PO BOX 77274	MISSISSAUGA	ON	CA	L5T2P4	
131952376RR0001	CHURCH OF GOD OF PROPHECY	Registered	1990-07-05		C	39	6780 PACIFIC CIRCLE UNIT 2	MISSISSAUGA	ON	CA	L5T1N8	
888915394RR0001	CHURCH OF GOD OF PROPHECY	Registered	1988-08-02		C	47	5145 TOMKEN RD	MISSISSAUGA	ON	CA	L4W1P1	
132361023RR0001	CHURCH OF ST BRIDE	Registered	1967-01-01		C	30	1516 CLARKSON RD NORTH	MISSISSAUGA	ON	CA	L5J2W9	
131908949RR0001	CHURCH OF ST LUKE DIXIE SOUTH	Registered	1967-01-01		C	30	1513 DIXIE RD	MISSISSAUGA	ON	CA	L5E2P7	
137723730RR0001	CHURCH OF ST MARK LUTHERAN	Registered	1967-01-01		C	32	130 MINEOLA RD E	MISSISSAUGA	ON	CA	L5G2E5	
118862085RR0001	CHURCH OF ST. MARY'S DORMITION	Registered	1967-01-01		C	38	3625 CAWTHRA ROAD	MISSISSAUGA	ON	CA	L5A2Y4	
870953064RR0001	CHURCH OF THE GOOD SAMARITAN	Registered	1998-07-19		C	30	3816 TRELAWNY CIR	MISSISSAUGA	ON	CA	L5N5J5	
888188745RR0001	CHURCH OF THE LIVING GOD INTERNATIONAL INC.	Registered	1998-01-01		C	39	MAVIS ROAD POSTAL OUTLET      PO BOX 43203	MISSISSAUGA	ON	CA	L5B4A7	
127875276RR0001	CHURCH OF THE NAZARENE CANADA	Registered	1978-01-01		C	39	3657 PONYTRAIL DR	MISSISSAUGA	ON	CA	L4X1W5	
891905408RR0001	CHURCH PLANTING MINISTRIES INCORPORATED	Registered	2003-08-13		C	39	P.O. BOX 14507	MISSISSAUGA	ON	CA	L5R4G3	
118864487RR0001	CITY CENTRE BAPTIST CHURCH	Registered	1980-10-05		C	31	1075 EGLINTON AVE W	MISSISSAUGA	ON	CA	L5V2W3	
869183764RR0001	CITY CENTRE MUSICAL PRODUCTIONS ASSOCIATION INC.	Registered	1998-01-01		C	22	6122 MILLER'S GROVE	MISSISSAUGA	ON	CA	L5N3C7	
108077926RR0001	CLARKSON CO-OPERATIVE NURSERY SCHOOL INC.	Registered	1980-08-01		C	20	1700 MAZO CRES	MISSISSAUGA	ON	CA	L5J1Y8	
118865153RR0001	CLARKSON ROAD PRESBYTERIAN CHURCH	Registered	1967-01-01		C	37	1338 CLARKSON RD N	MISSISSAUGA	ON	CA	L5J2W5	
